id,name,slug,description,parent_id,image_url,icon_url,sort_order,is_active,seo_meta,created_at,updated_at
"a1b2c3d4-e5f6-4a7b-8c9d-0a1b2c3d4e5f","Office & Printing Supplies","office-printing-supplies","Sustainable essentials for the modern workplace, from paper to printing.","","https://example.com/images/office-supplies.jpg","https://example.com/icons/office-supplies.svg",1,true,"{""title"": ""Office & Printing Supplies"", ""description"": ""Eco-friendly paper, pens, and printing solutions.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"b2c3d4e5-f6a7-4b8c-9d0e-1b2c3d4e5f6a","Recycled & Sustainable Paper","recycled-sustainable-paper","FSC-certified and 100% post-consumer recycled paper products.","a1b2c3d4-e5f6-4a7b-8c9d-0a1b2c3d4e5f","https://example.com/images/recycled-paper.jpg","https://example.com/icons/recycled-paper.svg",1,true,"{""title"": ""Recycled & Sustainable Paper"", ""description"": ""Source sustainable paper for all your business needs.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"c3d4e5f6-a7b8-4c9d-8e1f-2c3d4e5f6a7b","Eco-Friendly Writing Instruments","eco-friendly-writing-instruments","Biodegradable, refillable, and plantable pens and pencils.","a1b2c3d4-e5f6-4a7b-8c9d-0a1b2c3d4e5f","https://example.com/images/eco-pens.jpg","https://example.com/icons/eco-pens.svg",2,true,"{""title"": ""Eco-Friendly Writing Instruments"", ""description"": ""Sustainable writing tools from brands like Sprout Write.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"d4e5f6a7-b8c9-4d0e-9f2a-3d4e5f6a7b8c","Sustainable Desk Accessories","sustainable-desk-accessories","Organizers, planters, and other accessories made from recycled materials.","a1b2c3d4-e5f6-4a7b-8c9d-0a1b2c3d4e5f","https://example.com/images/desk-accessories.jpg","https://example.com/icons/desk-accessories.svg",3,true,"{""title"": ""Sustainable Desk Accessories"", ""description"": ""Furnish your desk with eco-conscious products.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"e5f6a7b8-c9d0-4e1f-8a3b-4e5f6a7b8c9d","Eco-Friendly Inks & Toners","eco-friendly-inks-toners","Carbon-negative and non-toxic inks for business printing needs.","a1b2c3d4-e5f6-4a7b-8c9d-0a1b2c3d4e5f","https://example.com/images/algae-ink.jpg","https://example.com/icons/algae-ink.svg",4,true,"{""title"": ""Eco-Friendly Inks & Toners"", ""description"": ""Innovative, sustainable inks from brands like Algae Ink.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"f6a7b8c9-d0e1-4f2a-9b4c-5f6a7b8c9d0e","Apparel & Promotional Wear","apparel-promotional-wear","Ethically produced corporate apparel and bulk sustainable textiles.","","https://example.com/images/apparel-promo.jpg","https://example.com/icons/apparel-promo.svg",2,true,"{""title"": ""Apparel & Promotional Wear"", ""description"": ""Sustainable corporate wear and textiles.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"07b8c9d0-e1f2-4a3b-8c5d-6a7b8c9d0e1f","Organic Corporate Apparel","organic-corporate-apparel","GOTS-certified and responsibly-made uniforms and corporate wear.","f6a7b8c9-d0e1-4f2a-9b4c-5f6a7b8c9d0e","https://example.com/images/organic-apparel.jpg","https://example.com/icons/organic-apparel.svg",1,true,"{""title"": ""Organic Corporate Apparel"", ""description"": ""Apparel from leading brands like TerraThreads and Patagonia.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"18c9d0e1-f2a3-4b4c-9d6e-7b8c9d0e1f2a","Bulk Sustainable Textiles","bulk-sustainable-textiles","Innovative and durable textiles like hemp for manufacturing.","f6a7b8c9-d0e1-4f2a-9b4c-5f6a7b8c9d0e","https://example.com/images/hemp-textiles.jpg","https://example.com/icons/hemp-textiles.svg",2,true,"{""title"": ""Bulk Sustainable Textiles"", ""description"": ""Source eco-friendly fabrics from suppliers like HempTex.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"29d0e1f2-a3b4-4c5d-8e7f-8c9d0e1f2a3b","Packaging & Shipping","packaging-shipping","Compostable and recycled packaging solutions for businesses.","","https://example.com/images/packaging-shipping.jpg","https://example.com/icons/packaging-shipping.svg",3,true,"{""title"": ""Sustainable Packaging & Shipping"", ""description"": ""Eco-friendly mailers, boxes, and fillers from EcoPack Solutions.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"3ae1f2a3-b4c5-4d6e-9f8a-9d0e1f2a3b4c","Compostable & Recycled Mailers","compostable-recycled-mailers","Certified home and industrial compostable mailing bags and recycled mailers.","29d0e1f2-a3b4-4c5d-8e7f-8c9d0e1f2a3b","https://example.com/images/compostable-mailers.jpg","https://example.com/icons/compostable-mailers.svg",1,true,"{""title"": ""Compostable & Recycled Mailers"", ""description"": ""Zero-waste shipping mailers for your business.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"4bf2a3b4-c5d6-4e7f-8a9b-0e1f2a3b4c5d","Recycled Boxes & Fillers","recycled-boxes-fillers","Shipping boxes and void fillers made from high-content recycled materials.","29d0e1f2-a3b4-4c5d-8e7f-8c9d0e1f2a3b","https://example.com/images/recycled-boxes.jpg","https://example.com/icons/recycled-boxes.svg",2,true,"{""title"": ""Recycled Boxes & Fillers"", ""description"": ""Durable and sustainable shipping boxes and fillers.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"5c03a4b5-d6e7-4f8a-9bac-1f2a3b4c5d6e","Janitorial & Hospitality","janitorial-hospitality","Eco-friendly supplies for hotels, restaurants, and cleaning services.","","https://example.com/images/janitorial-hospitality.jpg","https://example.com/icons/janitorial-hospitality.svg",4,true,"{""title"": ""Janitorial & Hospitality"", ""description"": ""Green cleaning products and hospitality supplies.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
